,CELG    US Equity,GILD    US Equity,BIIB    US Equity,AMGN    US Equity,REGN    US Equity,INCY    US Equity,ILMN    US Equity,MYL     US Equity,VRTX    US Equity,ALXN    US Equity,BMRN    US Equity,SHPG    US Equity,SGEN    US Equity,ALKS    US Equity,JAZZ    US Equity,TSRO    US Equity,QGEN    US Equity,UTHR    US Equity,EXEL    US Equity,IONS    US Equity,OPK     US Equity,ALNY    US Equity,ACAD    US Equity,PRAH    US Equity,KITE    US Equity,TECH    US Equity,BLUE    US Equity,NKTR    US Equity,MDCO    US Equity,NBIX    US Equity,AKRX    US Equity,CLVS    US Equity,ICPT    US Equity,RARE    US Equity,GWPH    US Equity,CBPO    US Equity,GRFS    US Equity,SAGE    US Equity,ENDP    US Equity,AGIO    US Equity,INCR    US Equity,HZNP    US Equity,IRWD    US Equity,JUNO    US Equity,PTLA    US Equity,LGND    US Equity,AVXS    US Equity,PRTA    US Equity,TBPH    US Equity,HALO    US Equity,PCRX    US Equity,RDUS    US Equity,ONCE    US Equity,SRPT    US Equity,FGEN    US Equity,ARRY    US Equity,SUPN    US Equity,AERI    US Equity,LXRX    US Equity,GBT     US Equity,INVA    US Equity,BPMC    US Equity,MYGN    US Equity,EGRX    US Equity,DERM    US Equity,ACOR    US Equity,RGEN    US Equity,FMI     US Equity,CHRS    US Equity,GHDX    US Equity,ALDR    US Equity,FOLD    US Equity,INSM    US Equity,FPRX    US Equity,XLRN    US Equity,EPZM    US Equity,XNCR    US Equity,MNTA    US Equity,LOXO    US Equity,AIMT    US Equity,IPXL    US Equity,SGYP    US Equity,DEPO    US Equity,DBVT    US Equity,AMRN    US Equity,ESPR    US Equity,EDIT    US Equity,INSY    US Equity,AMAG    US Equity,FLXN    US Equity,VSAR    US Equity,IMMU    US Equity,LMNX    US Equity,PGNX    US Equity,ADRO    US Equity,NVCR    US Equity,ITCI    US Equity,AMPH    US Equity,BGNE    US Equity,RTRX    US Equity,BCRX    US Equity,VNDA    US Equity,MGNX    US Equity,ARDX    US Equity,OMER    US Equity,NLNK    US Equity,ENTA    US Equity,RVNC    US Equity,NH      US Equity,AMRI    US Equity,ANIP    US Equity,XBIT    US Equity,RGNX    US Equity,ATRA    US Equity,ACHN    US Equity,SPPI    US Equity,CYTK    US Equity,SCMP    US Equity,NTLA    US Equity,INO     US Equity,KPTI    US Equity,LBIO    US Equity,CERS    US Equity,PACB    US Equity,MCRB    US Equity,TLGT    US Equity,NSTG    US Equity,RIGL    US Equity,CLDX    US Equity,CRIS    US Equity,PRTK    US Equity,MACK    US Equity,ADMS    US Equity,OTIC    US Equity,AQXP    US Equity,BOLD    US Equity,AVDL    US Equity,ARNA    US Equity,GERN    US Equity,AKBA    US Equity,NVAX    US Equity,PDLI    US Equity,CCXI    US Equity,OMED    US Equity,COLL    US Equity,BLCM    US Equity,ONVO    US Equity,NERV    US Equity,PTCT    US Equity,NK      US Equity,SGMO    US Equity,BRIXX   US Equity,ZGNX    US Equity,CGEN    US Equity,CEMP    US Equity,MNOV    US Equity,TRVN    US Equity,PETX    US Equity,FOMX    US Equity,CLSD    US Equity,ARZ     CN Equity,ARWR    US Equity,OPHT    US Equity
12/7/2012,78.68,73.915,151.285,88.32,180.87,17.86,51.58,27.26,38.88,91.5,46.96,91.18,25.54,18.685,51.31,16.99,17.91,52.04,4.37,8.985,4.38,16.65,4.55,,,69.24,,7,21.83,7.35,12.69,15.53,28.45,,,14.23,24.62,,28.29,,,2.25,11.23,,,18.38,,,,5.74,16.27,,,25.32,,3.635,7.81,,1.69,,21.78,,27.35,,,25.06,6.04,,,27.69,,5.2,6.99,,,,,10.7,,,20.93,5.015,5.79,,9.69,,,,14.42,,,3,16.89,2.35,,,,,,4.7,1.37,3.12,,,6.9,11.65,,,,5.2,1.52,,,,7.48,10.83,0.66,4.64,,0.4818,,0.268,3.13,1.53,,1.02,,8.19,5.52,3.05,5.18,6.2,,,,,3.07,8.54,1.06,,1.775,7.565,11.74,,,,2.13,,,,5.93,,2.36,4.78,6,1.7899,,,,,,2.13,
12/14/2012,79.36,74.24,151.25,89.2,179.71,16.04,51.22,27.97,41.79,93.4,49.4101,93.5,23.49,18.95,50.99,16.99,17.6,50.38,4.71,9.98,4.62,18.54,4.76,,,68.14,,6.78,21.81,7.75,12.77,15.07,34.58,,,15.5,23.24,,25.62,,,2.37,10.76,,,19.94,,,,5.52,15.43,,,25.26,,3.67,7.41,,1.87,,21.75,,26.95,,,25.15,6.38,,,27.09,,5.86,6.46,,,,,11.37,,,20.23,5.07,5.85,,8.8355,,,,14.58,,,2.94,16.09,2.29,,,,,,2.5,1.5,3.1312,,,6.51,12,,,,5.135,1.57,,,,8.52,11.01,0.67,5.02,,0.49,,0.2025,3.28,1.65,,1.05,,6.52,6.7,3.37,5.27,6.56,,,,,3.22,9.18,1.53,,1.8021,7.48,10.84,,,,2.14,,,,5.98,,1.21,5.51,6.3,1.71,,,,,,2.42,
12/21/2012,79.7,72.78,149.91,87.16,173.48,16.35,56.39,27.81,43.04,93.88,48.89,92.8,23.47,19.27,52.84,17.2,18.48,52.51,4.59,10.27,4.67,18.07,4.51,,,68.52,,7.1,24.17,7.92,13.29,15.82,34.34,,,15.6,23.9,,25.87,,,2.35,10.69,,,21.33,,7.2,,7.01,16.5,,,24.81,,3.58,7.11,,1.99,,21.88,,27.13,,,25.18,6.39,,,27.53,,2.76,6.56,,,,,11.62,,,20.33,4.98,5.85,,7.96,,,,15.15,,,3,16.5,2.87,,,,,,4.11,1.57,3.88,,,6.2,11.04,,,,5.31,1.3,,,,8.8,11.72,0.67,5.18,,0.52,,0.1599,3.3,1.61,,1.05,,6.51,6.63,3.68,4.85,6.12,,,,,3.12,8.63,1.6,,1.94,7.44,10.82,,,,2.15,,,,5.89,,1.37,5.01,6.07,1.61,,,,,,2.06,
12/28/2012,77.73,72.3782,146.05,85.24,167.97,16.07,54.75,26.92,40.94,92.36,47.94,91.14,22.98,18.52,52.75,16.44,18.08,52.14,4.51,10.1,4.73,17.66,4.51,,,68.36,,7.08,23.76,7.42,13.03,15.63,34,,,16.85,25.27,,25.6,,,2.3,10.93,,,20.56,,6.87,,6.65,17.42,,,23.79,,3.6,7.11,,1.91,,21.28,,27.09,,,24.21,6.08,,,26.99,,2.6,6.44,,,,,11.38,,,20.01,4.95,6.01,,7.7,,,,14.61,,,2.85,16.43,2.77,,,,,,2.9,1.4,3.57,,,5.32,11.98,,,,5.28,1.25,,,,8.02,11.28,0.6605,4.78,,0.4852,,0.17,3.1121,1.67,,1,,6.35,6.66,3.4,4.43,5.95,,,,,3.17,8.85,1.46,,1.82,7.09,10.55,,,,2.66,,,,5.96,,1.31,4.94,6.26,1.77,,,,,,2.03,
1/4/2013,82.09,75.7245,145.93,88.98,181.07,17.28,54.76,28.2,45.85,97.62,52.54,93.5,24.9709,20.32,55.62,18,18.55,51.97,4.83,10.89,5.16,19.04,4.95,,,69.19,,7.82,25.56,8.37,13.53,16.88,34.13,,,17.49,24.9507,,25.06,,,2.63,12.38,,,19.38,,6.55,,6.93,17.91,,,29,,4.11,7.22,,2.3,,21.57,,26.17,,,27.75,6.93,,,27.8442,,3.58,6.75,,,,,12.35,,,21.23,5.99,6.38,,8.41,,,,16.2,,,3.0399,17.4,3.15,,,,,,3.35,1.66,3.7695,,,5.85,12.27,,,,5.48,1.29,,,,9.4499,12.0297,0.8,4.97,,0.5299,,0.15,3,1.9,,1.04,,6.84,7.08,3.5101,5.5,6.1901,,,,,3.4,9,1.58,,1.94,7.39,11.14,,,,2.49,,,,6.65,,1.4901,4.88,6.46,1.69,,,,,,2.08,
1/11/2013,96.3,78.08,143.79,86.96,179.46,18.2,52.68,27.84,47.31,100.39,51.56,98.55,26.87,21.9,55.34,17.64,19.11,52.17,4.82,13.28,5.38,20.16,5.01,,,69.46,,8.27,29.26,8.66,14.09,18.76,33.89,,,18.99,24.54,,26.255,,,2.45,14.71,,,20.05,,6.43,,7.21,19.12,,,26.18,,4.17,7.08,,2.29,,23.27,,26.98,,,27.33,6.91,,,29.07,,3.86,6.7,,,,,12.37,,,21.4,6.42,6.52,,8.62,,,,15.88,,,3.02,18.39,3.41,,,,,,4,1.84,3.89,,,6.13,11.86,,,,6.04,1.42,,,,9.4,12.72,1.12,5.1,,0.6,,0.139,3.08,2.49,,1.06,,6.94,7.62,3.37,6.15,6.16,,,,,4.58,9.66,1.66,,2.15,7.48,11.18,,,,3.25,,,,6.98,,1.46,5.65,6.5,1.63,,,,,,2.1701,
1/18/2013,100.03,78.28,144.28,82.08,167.97,19.18,51.03,28,46.31,97.42,54.08,100.04,29.35,22.41,56.69,18.14,19.31,52.11,4.63,14.36,6.05,22.65,5.22,,,69.97,,8.93,30.23,9.2,14.4,20.08,33.93,,,19.21,24.6,,26.82,,,2.38,13.51,,,20.21,,6.14,,8.13,20.05,,,23.97,,3.99,7.35,,2.27,,20.69,,27.4,,,27.96,6.83,,,29.47,,3.79,6.4,,,,,12.43,,,21.02,6.28,6.25,,8.47,,,,15.47,,,2.91,17.98,2.83,,,,,,4.05,1.66,4.17,,,5.65,11.71,,,,6,1.26,,,,9.25,12.05,1.01,5.38,,0.72,,0.095,3.03,3,,1.18,,7.03,7.32,3.24,5.72,6.28,,,,,4.14,9.77,1.66,,1.98,7.08,11.22,,,,4.7,,,,9.02,,1.42,5.24,6.63,1.6399,,,,,,2.14,
1/25/2013,99.76,79.36,146.2,83.42,174.48,18.7,52.06,28.46,46.85,94.68,55.4,100.87,30.3,22.02,57.35,18.17,20.29,53.51,4.78,13.65,6.2,24.77,6.19,,,71.12,,9.1,30.34,9,14.46,19.99,38.49,,,18.89,26.05,,28.51,,,2.35,13.25,,,19.85,,6.11,,8.31,19.88,,,27.91,,3.88,7.48,,2.14,,21.27,,27.21,,,29.43,7.1,,,28.98,,3.62,6.25,,,,,12.69,,,20.15,5.74,6.21,,8.39,,,,15.76,,,2.73,18.6,2.91,,,,,,4,1.6,4.27,,,5.71,11.52,,,,5.96,1.22,,,,9.36,11.8,1.05,5.23,,0.6299,,0.1,3,2.63,,1.21,,6.7,7.31,3.14,5.59,6.11,,,,,4.09,8.71,1.67,,1.87,6.71,11.33,,,,4.69,,,,9.79,,1.44,5.58,6.67,1.72,,,,,,1.99,
2/1/2013,101.44,40.56,157.3,86.3,172.88,18.44,51.5,28.89,45.44,97.87,56,101.63,29.58,21.76,56.91,18.33,21.27,53.79,4.765,14.73,6.73,24.24,6.02,,,71.54,,8.81,30.53,9.08,12.8,19.72,39.94,,,19.4,26.68,,31.33,,,2.14,13.08,,,20.25,,6.44,,6.53,20.78,,,27.6,,3.78,7.76,,2.18,,22.79,,27.16,,,29.01,6.95,,,28.49,,3.75,5.8,,,,,12.67,,,20.53,5.91,7.02,,8.45,,,,16.28,,,2.99,18.55,2.89,,,,,,3.7,1.65,3.99,,,5.55,12.18,,,,6.06,1.425,,,,9.19,12.5,1.19,5.25,,0.71,,0.08,3.16,2.52,,1.17,,6.74,7.56,3.17,5.83,6.31,,,,,4.03,8.58,1.58,,1.8,6.875,11.7,,,,4.27,,,,9.55,,1.41,5.53,6.64,1.65,,,,,,1.91,
2/8/2013,100.13,40.9,164.44,86.77,165.88,18.32,50.88,28.86,46,93.66,55.01,100.12,30.4,21.06,56.93,18.64,20.54,53.76,4.74,14.24,6.49,24.82,6,,,69.59,,8.87,30.32,10.84,13.21,19.13,37.34,,,18.85,26.48,,29.75,,,2.31,13.3,,,20.72,,6.27,,6.44,19.56,,,28.91,,3.77,7.47,,2.09,,21.95,,26.31,,,29.42,6.77,,,28,,3.7,5.85,,,,,12.38,,,20.2,5.99,6.71,,8.58,,,,16.29,,,2.94,17.68,2.69,,,,,,3.4,1.43,3.97,,,5.52,12.23,,,,5.85,1.35,,,,9.12,12.37,1.03,5.28,,0.775,,0.075,3.12,2.16,,1.14,,6.56,7.67,2.99,6.12,6.34,,,,,3.91,8.71,1.5,,1.82,6.88,11.38,,,,4.7,,,,8.805,,1.4,5.28,6.6,1.68,,,,,,1.89,
2/15/2013,98.77,41.6,168.74,83.61,164.93,22,48.73,29.22,45.61,86.01,56.28,95.665,27.38,21.19,57.68,19.37,21.98,56.7,4.71,14.43,6.73,24.09,6.09,,,68.15,,9.14,30.96,11.02,12.82,18.64,36.84,,,18.58,27.53,,29.19,,,2.42,13.85,,,21.92,,6.01,,5.96,19.87,,,26.3,,3.87,7.5,,2.01,,22.13,,24.39,,,29.76,6.5,,,28.77,,2.89,6.18,,,,,12.33,,,20.16,5.8,6.84,,8.73,,,,16.91,,,2.87,17.94,2.87,,,,,,4.2,1.38,3.97,,,5.57,12.32,,,,7.79,1.38,,,,9.78,11.63,1.04,5.15,,0.73,,0.075,3.15,2.18,,1.1,,6.7,8.3,2.8,6.34,6.46,,,,,3.87,8.37,1.52,,1.89,6.94,11.7,,,,4.67,,,,8.56,,1.46,5.08,6.58,1.82,,,,,,1.81,
2/22/2013,101.65,42.45,164.4,86.82,160.38,21.04,49.03,28.98,45.91,87.44,56.1,96.01,27.23,20.81,56.5,19.09,21.28,57.75,4.41,14.61,7.03,23.44,6.13,,,68.34,,9.36,31.55,10.97,12.77,18.76,38.8,,,20.7,28.52,,28.04,,,2.17,14.5,,,21.22,,6.57,,5.91,20.63,,,27.83,,4.07,7.4,,1.99,,21.64,,25.01,,,30,6.28,,,28.22,,2.79,6.29,,,,,12.61,,,19.53,5.74,6.63,,8.24,,,,16.32,,,2.46,17.31,2.75,,,,,,4.85,1.26,3.97,,,5.6,11.85,,,,8.06,1.4,,,,8.86,11.24,1,5.2,,0.6827,,0.075,3.19,2.1,,1.14,,6.74,9.36,2.87,6,6.32,,,,,3.36,8.38,1.44,,1.84,7.03,12.16,,,,4.06,,,,9,,1.28,5.17,6.61,2.03,,,,,,2.101,
3/1/2013,105.62,43.45,168.7,92.58,171.73,22.46,52.22,30.1,46.17,86.77,59.61,96.29,28.33,21.87,58.41,21.8,21.38,60.81,4.54,15.31,6.99,23.74,6.36,,,68.17,,9.13,31.49,10.94,13.82,21.81,36.99,,,21,29.4,,30.02,,,2.01,14.94,,,20.63,,6.18,,5.51,23.42,,,29.59,,4.27,7.45,,1.97,,20.92,,25.46,,,30.4,6.28,,,29.03,,2.69,6.07,,,,,12.99,,,20,5.5,6.53,,7.55,,,,16.81,,,2.29,17.39,2.79,,,,,,4.4,1.19,3.74,,,5.38,11.71,,,,8,1.31,,,,8.15,11.44,0.97,5.19,,0.67,,0.075,3.66,2.28,,1.15,,6.74,10.26,3.08,5.91,6.3,,,,,3.95,8.34,1.44,,1.83,6.95,13.94,,,,4.1,,,,10.33,,1.87,5.23,6.66,2.98,,,,,,2.17,
3/8/2013,111.36,45.43,172.38,93,172.97,23.53,53.77,30.73,52.81,91.06,61.46,92,30.99,22.87,58.5,23.95,21.04,61.73,4.8,17.7,7.48,24.58,6.53,,,67.85,,10.05,31.7,11.24,14.32,26.05,37.95,,,23.1,29.02,,31.05,,,2.21,16.46,,,22.97,,6.41,,5.85,28.18,,,30.43,,4.45,7.85,,2.13,,24.84,,25.13,,,29.99,6.77,,,29.11,,2.94,6.26,,,,,14.16,,,16.64,5.98,5.905,,8.48,,,,18.99,,,2.5,17.24,3.73,,,,,,5.4,1.27,3.75,,,5.75,12.51,,,,9.97,1.3,,,,9.17,11.79,1.07,4.93,,0.54,,0.055,4.23,2.37,,1.21,,7.38,12.32,3.49,5.35,6.5,,,,,4.04,8.53,1.47,,2.05,7.06,14,,,,4.19,,,,9.64,,1.78,5.65,6.78,3.2,,,,,,2.36,
3/15/2013,112.4,45.17,176.78,91.808,171.84,24.84,52.28,30.469,52.31,93.66,61.25,92.03,33.55,22.75,59.25,24.83,20.77,61.06,4.61,17.66,7.83,25,6.26,,,67.35,,10.09,31.97,11.15,13.78,27.9,37.55,,,25.46,30.28,,30.68,,,2.48,18.85,,,23.27,,6.44,,5.54,30.08,,,32.25,,4.065,5.54,,2.185,,24.05,,25.9,,,30.55,6.47,,,29.08,,3.32,6.57,,,,,14.16,,,15.77,5.98,5.68,,8.46,,,,20.85,,,2.48,16.81,4.36,,,,,,4.75,1.31,3.865,,,5.36,12.45,,,,9.25,1.3,,,,8.85,7.76,1.05,5.21,,0.543,,0.03,4.48,2.27,,1.37,,6.92,12.06,3.36,5.47,6.03,,,,,4.07,8.03,1.13,,2.1,7.24,14,,,,3.9,,,,9.16,,1.99,5.42,6.48,3,,,,,,2.24,
3/22/2013,113.13,45.51,178,96.56,172.4,22.57,52.98,29.82,53.74,93.48,60.35,90.7,36.22,22.72,56.98,23.01,20.55,60.95,4.65,16.83,7.63,23.83,7.57,,,67.6,,10.86,32.59,11.32,13.3,28.23,37.15,,,26.38,28.32,,30.85,,,2.52,18.74,,,25.67,,6.64,,6.9,27.6,,,32.77,,4.29,5.82,,2.19,,22.74,,25.19,,,30.53,6.46,,,27.1,,3.24,7.38,,,,,13.44,,,15.62,5.89,5.76,,7.63,,,,21.99,,,2.45,17,5.09,,,,,,5.75,1.29,3.95,,,4.73,12.31,16.81,,,10.02,1.24,,,,8.8,7.061,1.05,5.88,,0.5795,,0.05,4.48,2.37,,1.645,,7,11.21,3.46,4.96,6.08,,,,,4.59,8.39,1.1,,2.16,7.29,13.93,,,,3.86,,,,9.32,,1.88,5.18,6.66,2.87,,,,,,2.22,
3/29/2013,115.91,48.94,192.618,102.51,176.403,23.41,53.98,28.955,54.97,92.14,62.26,91.36,35.505,23.7,55.91,21.96,21.08,60.87,4.62,16.94,7.63,24.37,7.94,,,67.85,,11,33.41,12.155,13.83,28.67,37.4,,,27.73,29.01,,30.76,,,2.71,18.285,,,26.65,,6.69,,5.765,28.86,,,36.95,,4.91,5.62,,2.18,,23.62,,25.41,,,32.03,6.91,,,28.28,,3.17,7.49,,,,,13.34,,,15.44,6.07,5.87,,7.41,,,,23.85,,,2.41,16.52,5.38,,,,,,5.5,1.19,3.92,,,4.12,12.27,18.2,,,10.51,1.17,,,,8.75,7.46,1.14,6.54,,0.595,,0.06,4.42,2.49,,1.71,,6.8,11.58,3.28,4.79,6.1,,,,,4.3,8.21,1.07,,2.28,7.3,13.82,,,,3.68,,,,9.56,,1.8,5.07,6.75,2.68,,,,,,2.18,
4/5/2013,116.43,47.37,193.31,104.04,185.41,21.37,54.43,28.63,53.23,99.2,61.72,89.13,34.8,22.35,54.66,22.32,20.46,60.01,4.42,17.34,7.17,22.97,7.7,,,66.01,,10.5,32.43,11.95,13.5,28.91,35.54,,,26.7,28.81,,34.15,,,2.47,17.92,,,25.8,,6.76,,5.16,28.39,,,36.21,,5.06,5.45,,2.12,,23.06,,24.5,,,31.05,8.18,,,27.62,,3.1,7.18,,,,,12.9,,,16.27,6.26,5.43,,7.19,,,,23.27,,,2.59,16.22,5.01,,,,,,5.25,1.7,4.045,,,3.99,11.87,20.34,,,9.73,1.16,,,,7.7,7.17,1.12,6.8,,0.52,,0.0205,4.35,2.13,,1.72,,4.5,11.13,3.13,4.79,6.15,,,,,4.57,8.13,1.1,,2.42,7.28,13.73,,,,3.29,,,,9.46,,1.565,4.83,6.39,2.31,,,,,,2.02,
4/12/2013,123,51.93,207.01,111.57,215.84,21.92,57.84,28.68,55.74,100.1,64.71,91.76,37.08,24.99,55.95,24.8,20.75,61.67,5.02,19.19,7.17,22.95,12.54,,,65.25,,10.98,32.82,11.98,14.1,30.93,33.98,,,26.74,29.88,,34.48,,,2.51,18.17,,,25.94,,7.86,,5.97,29.98,,,40.21,,5.48,5.35,,2.19,,23.76,,26.1,,,31.52,8.82,,,29,,3.15,7.55,,,,,13.43,,,16.46,5.4,5.41,,7.64,,,,22.23,,,2.53,16.6,4.89,,,,,,6,1.89,4.43,,,4.03,11.53,19.68,,,9.69,1.18,,,,7.38,7.265,1.23,6.93,,0.5788,,0.012,5.01,2.3,,1.7,,4.62,11.94,3.4,4.6,6.08,,,,,4.85,8.22,1.15,,2.57,7.72,13.91,,,,3.82,,,,10.2,,1.71,5.38,6.06,2.33,,,,,,1.96,
4/19/2013,122.36,53.17,203.27,111.38,212.58,21.7,56.09,28.34,85.6,92.6,65.44,90.53,36.96,31.27,55.04,23.99,20.59,60.26,4.84,21.1,7.02,23.41,12.09,,,64.88,,11,34.43,12.02,14.39,32,31.34,,,26.25,29.47,,35.9,,,2.44,17.79,,,26.92,,7.85,,6.08,28.57,,,32.86,,5.72,5.3,,2.19,,31.93,,28.59,,,40.44,8.86,,,29.76,,3.11,7.48,,,,,13.04,,,16.73,4.96,5.51,,6.79,,,,20.87,,,2.48,16.79,4.74,,,,,,7,1.81,4.64,,,3.9,11.52,20.13,,,9.32,1.15,,,,7.4,7.16,1.29,6.76,,0.565,,0.017,4.8,2.18,,1.73,,4.73,13.03,3.22,3.99,5.73,,,,,4.8401,8,1.05,,2.5,7.55,11.66,,,,3.45,,,,9.93,,1.6,5.16,6.26,2.62,,,,,,1.74,
4/26/2013,120.34,51.38,213.59,108.38,216.6,22.5,62.61,29.31,79.02,99.34,63.18,92.32,37.38,31.4,56.25,27.62,20.64,62.2,5.22,22.46,6.92,24.04,13.4,,,63.89,,11.08,33.41,11.93,14.7,37.84,34.6,,,24.68,29.93,,36.46,,,2.48,15.59,,,27.28,,8.28,,6.28,28.14,,,29.8,,5.98,4.95,,2.28,,34,,27.43,,,38.82,8.84,,,30.1,,3.16,9.62,,,,,12.85,,,17.62,5.04,5.49,,6.84,,,,21.89,,,2.5,16.36,4.8,,,,,,7.45,1.91,4.77,,,4.05,12.7,20.62,,,11.21,1.12,,,,7.4,7.45,1.3,9.49,,0.593,,,5.3,2.54,,1.85,,4.76,13.45,3.78,4.06,5.29,,,,,4.9,8.17,1.14,,2.49,7.7,12.72,,,,3.68,,,,10.5,,1.69,5.9,6.25,2.7,,,,,,1.83,
5/3/2013,121.64,55.15,218.85,106.48,266.16,22.24,64.91,28.9,75.99,98.17,66.71,87.16,36.35,29.87,58.72,29.39,19.15,65.81,4.69,22.42,6.67,23.59,12.35,,,64.94,,10.491,34.25,11.25,15.36,37.91,33.65,,9.04,26.36,29.85,,37.58,,,2.38,14.61,,,26.21,,8.31,,6.04,28.98,,,31.53,,5.94,5.15,,2,,33.87,,27.93,,,34.95,8.93,,,33.5,,3.14,8.97,,,,,11.29,,,17,5,5.41,,6.78,,,9.7,23.37,,,2.46,16.99,4.35,,,,,,8.25,1.94,4.85,,,4.05,14.39,19.37,,,11.549,1.19,,,,6.94,7.23,1.22,8.96,,0.6,,0.06,4.78,2.49,,2.01,,4.65,12.52,3.74,4.17,4.39,,,,,5.21,7.63,1.16,,2.18,7.83,11.88,,,,4.3,,,,8.61,,1.67,5.79,6.61,3.65,,,,,,2.08,
5/10/2013,127.46,52.88,213.22,106.72,273.5,23.29,69.98,29.65,80.43,104.14,67.68,93.07,36.99,31.2,57.96,28.44,18.78,66.58,4.85,19.02,6.92,25.61,12.02,,,66.91,,9.62,37.1,12.13,14.25,36.51,31.4,,8.92,25.9,27.4,,34.97,,,2.38,14.81,,,26.7,,8.275,,6.43,28.31,,,33.8,,5.44,4.9,,1.99,,34.94,,33.1,,,34.28,8.98,,,34.72,,3.11,8.35,,,,,12.78,,,17.4,4.58,5.13,,7.25,,,10.83,24.54,,,2.6,18.38,4.45,,,,,,8.76,1.8,5.27,,,4.77,15.33,19.9,,,11.16,1.13,,,,7.11,7.6,1.14,9.36,,0.617,,0.0101,4.84,2.47,,1.79,,4.73,12.09,4.13,3.12,5.07,,,,,4.66,8.03,1.16,,2.16,7.725,12.21,,,,4.52,,,,8.76,,1.79,5.75,6.74,3.52,,,,,,2.27,
5/17/2013,124.91,56.3,226.85,105.63,266.97,23.04,72,31.4,79.49,102.9,64.01,93.43,36.7,31.69,58.36,35.91,18.65,69.17,4.55,20.66,7.16,27.44,13.27,,,67.74,,9.79,35.76,11.75,14.5,36.91,33.22,,8.9,26.48,26.95,,34.38,,,2.4,14.39,,,28.01,,9.86,,7.96,29.44,,,36.91,,5.89,6,,2.21,,39.585,,32.93,,,32.94,8.85,,,37.25,,3.43,10.9,,,,,13.03,,,18.42,5.3,5.48,,7.14,,,10.93,25.37,,,3.14,18.41,4.31,,,,,,7.15,1.71,6.58,,,5.14,16.68,20.88,,,11.08,1.14,,,,7.77,8.14,1.2,9.46,,0.672,,0.015,5.48,2.42,,1.67,,4.74,12.69,4.12,3.16,5.52,,,,,4.65,7.98,1.12,,2.01,8.22,13.61,,,,4.27,,,,8.43,,1.6,5.58,6.7,3.54,,,,,,2.31,
5/24/2013,122.58,55.81,235.24,105.91,250.31,23,70.31,31.175,78.4,99.17,64.39,99.49,34.95,32.84,63.75,34.4,18.98,66.35,4.74,20.98,6.93,28.98,14.189,,,66.64,,9.27,32.99,13.17,14.59,34.6,34.36,,8.888,26.52,26.93,,33.88,,,2.4,12.83,,16.1,27.47,,10.28,,7.42,29.3,,,37.82,,5.85,6.86,,2.19,,36.24,,31.43,,,32.67,8.48,,,37,,3.4,12.93,,,,,13.39,,,18.8,5.16,5.89,,6.78,,,10.64,22.25,,,3.36,19.11,4.15,,,,,,7,1.59,8.38,,,5.3,16.1,20,,,11.15,1.24,,,,7.58,8.33,1.16,9.02,,0.71,,0.015,5.16,2.6,,1.6,,4.71,12.41,3.83,3.1,5.2,,,,,4.66,8.301,1.12,,2.02,8.37,13.92,,,,4.25,,,,7.98,,1.53,5.4,7.13,3.14,,,,,,2.18,
5/31/2013,123.65,54.48,237.49,100.53,241.88,22.17,70.32,30.48,80.33,97.58,62.7,98.47,34.32,31.25,67.97,34.21,18.68,66.49,4.84,21.69,6.61,30.63,14.07,,,66.51,,9.47,32.21,12.93,14.53,36.58,33.44,,8.9,25.49,27.26,,36.3,,,2.37,13.35,,18.2,29.91,,9.94,,7.06,29.3,,,35.35,,5.84,6.91,,2.38,,35.04,,32.1,,,33.45,8.28,,,36.495,,3.33,13.42,,,22.99,,13.16,,,18.966,5.1,5.76,,6.99,,,11.04,18.5,,,3.91,19.27,3.98,,,,,,6.8,1.71,9.13,,,5.3,16.31,19.48,,,11,1.22,,,,8.34,8.21,1.2,8.47,,0.682,,0.049,5.14,2.65,,1.48,,4.62,12.785,3.76,2.96,5.53,,,,,4.82,8.84,1.09,,1.91,8.25,13.51,,,,4.29,,,,8,,1.49,5.84,8.04,3,,,,,,2.2,
6/7/2013,120.41,52.892,225.02,98.81,257.5,21.4,69.99,30.58,82.81,94.38,58.93,97.7,34.49,31.05,68.57,39.81,18.75,67,4.79,22.76,6.5,30.92,17.01,,,66.35,,9.3,33.79,12.87,14.03,71.833,33.65,,9.009,21.35,27.35,,38.24,,,2.28,13.38,,20.66,32.17,,10.79,,6.56,29.46,,,37.84,,5.01,6.82,,2.35,,35.51,,32.92,,,34.43,8.09,,,35.87,,3.23,12.94,,,26,,14.2,,,18.9,4.83,5.75,,7.07,,,10.91,19.79,,,4.07,19.34,3.95,,,,,,7.2,1.68,9.91,,,5.05,19.26,18.8,,,10.5,1.2,,,,8.27,8.11,1.18,7.49,,0.6705,,0.04,4.821,2.72,,1.41,,3.56,14.57,3.47,3.03,5.33,,,,,6.18,8.69,1.11,,1.88,7.95,12.46,,,,4,,,,8.01,,1.36,6.25,8.01,2.81,,,,,,2.13,
